Operador,Numero Query,Query,Precision,Recall,F1,NDCG,AVG Precision,AVG Recall,AVG F1,AVG NDCG
Elastic Default,1,what similarity laws must be obeyed when constructing aeroelastic models of heated high speed aircraft . ,0.5,0.5,0.5,0.5532604283649871,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,2,what are the structural and aeroelastic problems associated with flight of high speed aircraft . ,0.3,0.3,0.3,0.5456218364064083,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,4,can a criterion be developed to show empirically the validity of flow solutions for chemically reacting gas mixtures based on the simplifying assumption of instantaneous local chemical equilibrium . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,8,what methods -dash exact or approximate -dash are presently available for predicting body pressures at angle of attack. ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,9,papers on internal /slip flow/ heat transfer studies . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,10,are real-gas transport properties for air available over a wide range of enthalpies and densities . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,12,how can the aerodynamic performance of channel flow ground effect machines be calculated . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,13,what is the basic mechanism of the transonic aileron buzz . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,15,material properties of photoelastic materials . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,18,are experimental pressure distributions on bodies of revolution at angle of attack available . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,22,did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,23,what progress has been made in research on unsteady aerodynamics . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,26,what is a single approximate formula for the displacement thickness of a laminar boundary layer in compressible flow on a flat plate . ,0.1,0.125,0.11111111111111112,0.053401394848451834,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,27,how is the design of ring or part ring wings by linear theory affected by thickness . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,29,what is the effect of cross sectional shape on the flow over simple delta wings with sharp leading edges . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,31,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio . ,0.1,0.25,0.14285714285714288,0.048117600706874986,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,32,to find an approximate correction for thickness in slender thin-wing theory . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,33,how do interference-free longitudinal stability measurements (made using free-flight models) compare with similar measurements made in a low-blockage wind tunnel . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,34,have wind tunnel interference effects been investigated on a systematic basis . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,35,are there any papers dealing with acoustic wave propagation in reacting gases . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,39,how can one detect transition phenomena in boundary layers . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,40,how can one detect transition phenomena in hypersonic wakes . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,41,has anyone investigated and developed a simple model for the vortex wake behind a cruciform wing . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,49,"can the three-point boundary-value problem for the blasius equation be integrated numerically,  using suitable transformations,  without iteration on the boundary conditions . ",0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,50,what are the effects of small amounts of gas rarefaction on the characteristics of the boundary layers on slender bodies of revolution . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
Elastic Default,51,what is the available information pertaining to boundary layers on very slender bodies of revolution in continuum flow (the ?transverse curvature  effect) . ,0.0,0.0,0,0.0,0.011842105263157895,0.015844298245614036,0.012990007068954437,0.011383820446411555
